,total,data,pde,border
0,0.3407500982284546,0.6281163096427917,0.05338381230831146,0.9707970023155212
1,0.1111970841884613,0.17028123140335083,0.05211290344595909,0.4849141836166382
2,0.059320978820323944,0.06328820437192917,0.055353760719299316,0.38612431287765503
3,0.043738216161727905,0.034370481967926025,0.05310593545436859,0.3293651342391968
4,0.037915319204330444,0.025484299287199974,0.05034634470939636,0.286771297454834
5,0.03490925580263138,0.02099660038948059,0.04882190376520157,0.25681257247924805
6,0.03317950293421745,0.01842672936618328,0.04793226718902588,0.23492780327796936
7,0.032036710530519485,0.016822196543216705,0.047251224517822266,0.21969646215438843
8,0.03120444342494011,0.015696555376052856,0.04671233892440796,0.20908093452453613
9,0.030566152185201645,0.01486010942608118,0.046272195875644684,0.2014681100845337
