,total,data,pde,border
0,0.3971945345401764,0.8833996057510376,0.024912802502512932,0.29530805349349976
1,0.14835497736930847,0.3207297921180725,0.04699767753481865,0.041519176214933395
2,0.09339852631092072,0.19218899309635162,0.036835577338933945,0.022699784487485886
3,0.0659305602312088,0.13210952281951904,0.030451331287622452,0.013091695494949818
4,0.04975707083940506,0.0951746255159378,0.02886888012290001,0.008708612993359566
5,0.03653605654835701,0.06207626685500145,0.030091680586338043,0.007825241424143314
6,0.028700491413474083,0.0443219356238842,0.029209166765213013,0.006665357388556004
7,0.024708634242415428,0.03634057193994522,0.027560140937566757,0.005788152106106281
8,0.022480592131614685,0.032219186425209045,0.026221372187137604,0.005220729857683182
9,0.021015077829360962,0.02961033210158348,0.025268007069826126,0.0047589559108018875
